Id,SalePrice
1461,50736.242
1462,48312.793
1463,45917.48
1464,42185.027
1465,42042.566
1466,45156.29
1467,42027.51
1468,45577.12
1469,52267.76
1470,48320.867
1471,50621.66
1472,38468.293
1473,38468.293
1474,39185.504
1475,40006.63
1476,42671.023
1477,42947.363
1478,42557.4
1479,40251.457
1480,67583.99
1481,53903.293
1482,40572.11
1483,42455.81
1484,42455.81
1485,45080.926
1486,42694.184
1487,38119.793
1488,45907.28
1489,51059.91
1490,47833.92
1491,44560.418
1492,40896.09
1493,69400.1
1494,40753.88
1495,40867.37
1496,42988.395
1497,50791.35
1498,49445.793
1499,49660.188
1500,50302.88
1501,46632.855
1502,48493.336
1503,52564.953
1504,48533.85
1505,48311.992
1506,41110.746
1507,42281.516
1508,49645.33
1509,38786.484
1510,49844.46
1511,52210.875
1512,47332.29
1513,58940.277
1514,54428.68
1515,48422.8
1516,46863.555
1517,50279.473
1518,53003.023
1519,50052.027
1520,48091.242
1521,48082.61
1522,54218.508
1523,47085.414
1524,45631.633
1525,42454.28
1526,48378.0
1527,45161.715
1528,42213.426
1529,47824.758
1530,59023.883
1531,51139.31
1532,41918.13
1533,43821.71
1534,43712.867
1535,38787.023
1536,38883.12
1537,38100.254
1538,39759.883
1539,39904.812
1540,39206.12
1541,39614.145
1542,41250.66
1543,42562.88
1544,41706.746
1545,41436.18
1546,53216.348
1547,47611.066
1548,41255.26
1549,39955.344
1550,39689.8
1551,40510.332
1552,38006.7
1553,41976.27
1554,44136.395
1555,51101.94
1556,40922.992
1557,40585.895
1558,39469.66
1559,40497.51
1560,41396.812
1561,48083.03
1562,40112.723
1563,40903.406
1564,56420.938
1565,50135.89
1566,70561.23
1567,40186.574
1568,42326.992
1569,43407.625
1570,40332.477
1571,39726.8
1572,40979.2
1573,71238.96
1574,39749.918
1575,70797.984
1576,44572.32
1577,42884.4
1578,40718.31
1579,46311.258
1580,42884.4
1581,41703.195
1582,41917.945
1583,42502.016
1584,41404.844
1585,41969.438
1586,40190.5
1587,40162.703
1588,54900.008
1589,39753.504
1590,43129.32
1591,40937.78
1592,39988.7
1593,41577.586
1594,57760.297
1595,42398.863
1596,51066.51
1597,47663.43
1598,46968.41
1599,47367.57
1600,38489.54
1601,38874.45
1602,39726.945
1603,40220.215
1604,60465.742
1605,42543.355
1606,46155.09
1607,47501.547
1608,43293.613
1609,45980.49
1610,46882.625
1611,40327.414
1612,42834.918
1613,42107.1
1614,58750.707
1615,39335.87
1616,39335.87
1617,39550.35
1618,40364.484
1619,42673.223
1620,53660.86
1621,43768.867
1622,38195.773
1623,69719.664
1624,42989.49
1625,46765.133
1626,47931.47
1627,42455.81
1628,55286.023
1629,46581.668
1630,37589.023
1631,42057.223
1632,42256.96
1633,47224.36
1634,46013.375
1635,45370.684
1636,41686.27
1637,42596.945
1638,41274.637
1639,41967.89
1640,39823.137
1641,44728.06
1642,48210.445
1643,47890.867
1644,48097.598
1645,53444.46
1646,41687.81
1647,39720.13
1648,47262.1
1649,48718.04
1650,48317.824
1651,40467.06
1652,39069.97
1653,39519.27
1654,39086.992
1655,43795.74
1656,39595.625
1657,43329.355
1658,39722.473
1659,43982.742
1660,48114.09
1661,50878.445
1662,43314.008
1663,41108.543
1664,67583.99
1665,40626.375
1666,67583.43
1667,43231.926
1668,41427.83
1669,41018.375
1670,40679.953
1671,40306.402
1672,40798.453
1673,39397.883
1674,43595.996
1675,40252.824
1676,40467.22
1677,40467.22
1678,53902.484
1679,54323.316
1680,42509.94
1681,40894.15
1682,54751.348
1683,40474.684
1684,42840.145
1685,42233.95
1686,42233.95
1687,44543.125
1688,42694.184
1689,42671.734
1690,42448.344
1691,42670.203
1692,41808.69
1693,44582.367
1694,42670.203
1695,44309.777
1696,37906.133
1697,43832.266
1698,48185.875
1699,46805.08
1700,42132.438
1701,41918.336
1702,48540.266
1703,47570.53
1704,46121.676
1705,45696.984
1706,74906.69
1707,50314.066
1708,48587.23
1709,48097.598
1710,48097.598
1711,48708.45
1712,50409.46
1713,48311.992
1714,48533.85
1715,48533.85
1716,43857.55
1717,44678.14
1718,43212.484
1719,58663.457
1720,56687.0
1721,42382.77
1722,43212.484
1723,42597.164
1724,47033.098
1725,39521.01
1726,43698.613
1727,46556.367
1728,44219.516
1729,42164.824
1730,56635.75
1731,38993.812
1732,41014.383
1733,38475.543
1734,46848.684
1735,34764.746
1736,42517.555
1737,69644.37
1738,46227.793
1739,48973.1
1740,52613.582
1741,50355.297
